粉絲專頁,發文內容,發文時間
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"茹絲葵母親節套餐(Mother's Day Menu)

讓我們為這個特別日子裡的美好相聚舉杯歡慶，用經典美味寵愛天底下最偉大的媽咪們吧！

套餐中特別推出最受女性歡迎的前菜『頂級生菲力牛肉薄片』和『蟹肉凱薩沙拉』可自由選擇，一口咬下鮮美香濃的滋味在嘴裡迸發，推薦搭配主餐『牛排佐新鮮焗烤龍蝦』，滿足全家人的口味

餐後附上從巴黎空運來台的青木定治馬卡龍禮物，精緻的包裝、幸福的色彩、難忘的美味，為這頓溫馨饗宴畫下美好句點

***茹絲葵母親節套餐**
販售日期：2017年5月5日(五))至2017年5月14日(日)

#茹絲葵
#母親節套餐",2017-05-08
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"茹絲葵情人節套餐(Valentine’s Menu 2017)
堅持選用只佔市場不到2%的美國Prime頂級牛肉，以經典美味寵愛您的另一半；此次還特別推出全新前菜『頂級生菲力牛肉薄片』和『蟹肉凱薩沙拉』可自由選擇，一口咬下鮮美香濃的滋味在嘴裡迸發，配菜推薦搭配美國節慶時餐桌上必備的『烤甘藍菜心』，以蜂蜜奶油拌炒搭配培根，香甜口感令人驚豔。

餐後以香濃的百香果起司蛋糕與青木定治禮物，伴您與另一半一起度過美好的佳節，也為這一場美食饗宴畫下完美句點。

***茹絲葵情人節套餐***
販售日期：2017年2月10日(五))至2017年2月14日(二) 

午餐 Lunch: 11:30-14:00
晚餐 Dinner: 17:30-22:30
(情人節晚餐時間只提供套餐，不提供單點)

#茹絲葵
#情人節套餐",2017-02-10
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"提前和大家拜個年，祝願各位新春佳節愉快！

茹絲葵新年時間營業時間公告如下：
1/27(除夕)店休，1/28(大年初一)起正常營業

如需訂位，歡迎來電！
民生店，服務專線：(02)2545-8888
大直店，服務專線：(02)8501-5900
台中店，服務專線：(04)2323-2872
高雄店，服務專線：(07)241-8888",2017-01-19
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"歲末年終之際，茹絲葵為您推薦俄國沙皇指定的
黃金佳釀「水晶香檳」(Cristal Champagne)

由路易．侯爾德(Louis Roederer)酒廠於1876年開始釀造，
這一瓶難求的年份香檳在市場上受到高度讚賞

透著金黃光芒的香檳，色澤誘人、氣泡細緻優雅、
口感芳香飽滿，是歡慶時不可多得的珍品。

茹絲葵經典牛排館以最好的牛排與最尊貴的水晶香檳與每一位喜愛茹絲葵的顧客，一同向嶄新美好的未來舉杯慶賀！

#茹絲葵 #節慶套餐 #水晶香檳 #年份香檳",2016-12-13
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"歲末年終之際，最適合用美食佳釀犒賞自己！

***茹絲葵推出2016節慶套餐Holiday Menu***
主菜秉持一貫傳統，嚴選產量不到2%的美國Prime牛肉
可依個人喜好選擇菲力、肋眼、紐約
亦或是牛排搭配新鮮活龍蝦的豪華組合

選擇節慶套餐即贈空運自法國的青木定治馬卡龍禮盒(6入)
味覺與視覺兼顧的完美饗宴，伴您度過美好佳節

***茹絲葵2016 Holiday Menu***
期間限定：2016年12月16日(五)至2017年1月1日(日)
2016年12月24日(六)晚餐時段僅提供節慶套餐

#茹絲葵 #節慶套餐",2016-11-25
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"挑選多汁的蘑菇鑲入半顆拳頭大小的蟹肉
蟹餡綿密、鮮甜，搭配羅瑪諾起司和西芹等蔬菜完美調味，些微的蒜蓉香氣讓人食慾大開

看似樸實無華，但透過新奧爾良獨特的烹調手法
讓這道開胃菜持續保持其經典的地位

#開胃菜
#蟹肉鑲蘑菇
#茹絲葵",2016-11-04
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"以兩種純度比例不同的巧克力結合Espresso
不加入任何蛋糕體和麵粉做成蛋糕

香濃的口感滑順如同慕斯，但帶有微冰的硬度
醇香美味彷彿誘惑著舌尖，令人無法抗拒

#巧克力蛋糕
#sincake
#茹絲葵",2016-10-24
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"免去與蟹殼纏鬥，以拳頭般大小扎實的蟹餅
優雅呈現

極鮮的蟹肉，佐以檸檬奶油香
在保溫瓷盤上滋滋作響

微烤至焦香金黃
剎那間，爆發在唇齒間的美好
讓人無可自拔，一再回味

#紐奧良蟹肉糕
#茹絲葵",2016-09-30
Ruth's Chris Steak House茹絲葵經典牛排館台灣,"頂級牛排當前，我們從不失手！
We don’t fool around when it comes to steak.",2016-08-28
炤茹絲葵,"?鹹鹹市集?
結束了兩天的市集,收穫滿滿的
隔壁的香港弟弟妹妹很乖的陪媽媽來,妹妹也喜歡畫畫而且還送了我一張圖,上面寫著姐姐你好漂亮,弟弟也拿著自己的零用錢跟我買貼紙,兩個人都很害羞,可是兩個人都很可愛的陪我說說話當最可愛的小天使?? 我還遇見一個停留在我攤位前2-3分鐘的弟弟,他沒有買東西只是一直害羞的看著我,離開的時候也很害羞的微笑跟我說掰掰?? 市集有好多狗狗,咖啡完全萌狗狗,還有被我自稱寶貝的嚕比跟多多?
這次認識了幾個好朋友,收到一朵小黃花一條手鍊? 每個攤位都很善良又很棒,我們都很用心在自己喜歡的事情上面,賺了多少錢其實只是其次,認識了大家和許多人交流才是最幸福的事情
能過參與這次的活動能夠擁有這些真的真的太夢幻了,謝謝你們,謝謝來陪我的好朋友謝謝小幫手們謝謝喜歡我商品的客人,謝謝鹹鹹市集?

鹹鹹市集",2016-04-25
